site,inlet,month,basis_training_sites,basis_family,class_mode,allocation,split_step,split_mode,geometry,outer_treatment,split_acceptance,contrast_min_lambda,target_regions,heldout_cv_nrmse,heldout_cv_rmse,heldout_cv_bias,heldout_cv_corr,n_splits,actual_regions,actual_regions_min,actual_regions_max,candidate
TAC,185m,January,"TAC,MHD",bucketbasisfunction,land_sea,legacy,bucketbasisfunction,legacy,row_column,full_domain,none,,250,0.04681272405556982,2.6638080014411868e-09,-5.965862476804171e-10,0.9916239178976823,3,250.0,249,251,weighted/bucket
TAC,185m,January,"TAC,MHD",region_constrained,land_sea,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.07262426015564373,4.3718063372346085e-09,-1.6376401602636e-09,0.9822587045062932,3,250.0,250,250,weight/inertial/balanced/lat_lon_metres
TAC,185m,January,"TAC,MHD",region_constrained,land_sea,weight,inertial,balanced,row_column,full_domain,none,,250,0.07837902795491992,4.826913346060759e-09,-1.921822321739285e-09,0.9811813542269201,3,250.0,250,250,weight/inertial/balanced/row_column
TAC,185m,January,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.1548913988950328,1.0179946933656873e-08,-7.82346274480498e-09,0.9553983085947356,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres/contrast
TAC,185m,January,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.15508386035622032,1.0181104390934394e-08,-7.78465727573281e-09,0.954886014824523,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres
TAC,185m,January,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.1989485496227511,1.3191528108355916e-08,-1.045134929966259e-08,0.9534125241552412,3,250.0,250,250,weight/axis_parallel/balanced/row_column/contrast
TAC,185m,January,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,none,,250,0.20012047442570838,1.3249282963835387e-08,-1.0461122177029247e-08,0.9526489340087961,3,250.0,250,250,weight/axis_parallel/balanced/row_column
TAC,185m,January,"TAC,MHD",region_constrained,no_mask,single_class,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.06698346023505347,4.134040216511613e-09,-1.5859505722229393e-09,0.9865214997697729,3,250.0,250,250,single_class/inertial/balanced/lat_lon_metres
TAC,185m,January,"TAC,MHD",region_constrained,no_mask,single_class,inertial,balanced,row_column,full_domain,none,,250,0.06784933419929215,4.056908781522065e-09,-1.6718149640159962e-09,0.9861134956933073,3,250.0,250,250,single_class/inertial/balanced/row_column
TAC,185m,January,"TAC,MHD",quadtreebasisfunction,no_mask,legacy,quadtreebasisfunction,legacy,row_column,full_domain,none,,250,0.1088337229045001,6.3275578103014155e-09,-3.0298267414831895e-09,0.9680259798164904,3,251.0,250,253,quadtree
TAC,185m,January,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.15885997271053234,1.026412114588401e-08,-7.622212651520457e-09,0.9565559821819697,3,250.0,250,250,single_class/axis_parallel/balanced/lat_lon_metres/contrast
TAC,185m,January,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.16338086446260391,1.0441520249491641e-08,-7.464795250089744e-09,0.9519101705295983,3,250.0,250,250,single_class/axis_parallel/balanced/lat_lon_metres
