matrix,split_step,classes,geometry,target_regions,state_count,observation_count,singular_index,singular_value,singular_value_normalized,energy_fraction,cumulative_energy_fraction
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,77,3.1031136806305195e-10,0.005129394522228137,1.5513755357929842e-05,0.9996420064738943
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,78,3.0294223676854546e-10,0.00500758402610754,1.4785677253360365e-05,0.9996567921511477
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,79,2.8774241219515843e-10,0.004756333492193107,1.3339185951056093e-05,0.9996701313370988
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,80,2.8540718478226727e-10,0.004717732577329404,1.3123551206765291e-05,0.9996832548883056
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,81,2.772326636400154e-10,0.004582609123004699,1.2382557745835596e-05,0.9996956374460513
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,82,2.7431834870300927e-10,0.004534435989138428,1.21235911577564e-05,0.9997077610372092
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,83,2.682032044062275e-10,0.004433353686371571,1.1589094157229338e-05,0.9997193501313664
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,84,2.6252621649048777e-10,0.004339514034606593,1.1103679707980747e-05,0.9997304538110743
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,85,2.5876240885191077e-10,0.004277298929808646,1.0787577714596173e-05,0.9997412413887888
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,86,2.5403679951629895e-10,0.004199185405345847,1.0397162504830929e-05,0.9997516385512937
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,87,2.494143918928557e-10,0.00412277778776099,1.0022235104681803e-05,0.9997616607863984
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,88,2.406948064064764e-10,0.00397864451185456,9.33372509284516e-06,0.9997709945114912
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,89,2.377855175589054e-10,0.003930554458398065,9.109454416778136e-06,0.999780103965908
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,90,2.3740438694858815e-10,0.003924254433758241,9.080275940942657e-06,0.9997891842418489
